EmployeeID,DateOfHire,DateOfBirth,Gender,Department,JobTitle,EmploymentStatus,SupervisorID,SupervisorName,SupervisorLevel,ProjectsAssigned,ProjectsCompleted,PerformanceRating,Salary,Bonus,YearsAtCompany,YearsInCurrentRole,TrainingHours,OvertimeHours,Absences,HireSource,EmployeeEngagementScore,TerminationDate,ReasonForLeaving,LastPromotionDate,SeniorLeader,TeamSize,PromotionCount,WorkFromHomeDays,PerformanceImprovementPlan,YearsSinceLastTraining,JobSatisfactionScore,RetentionRisk,DiversityCategory,SkillsAssessmentScore,RecruitmentCost,TimeToFillPosition,InternalPromotion,WorkHoursPerWeek,StressLevelScore
45,27-09-2020,15-11-1988,Non-Binary,HR,"Buyer, retail",Active,508,Jeffrey Dawson,VP,5,4,2,49547.5,18047.82,0,9,52,6,5,Referral,2.73,,,21-10-2024,Thomas G,30,3,1,No,1,4.04,Medium,Diverse,73.44,5962.34,39,No,50,3.77
46,03-03-2016,09-03-2002,Non-Binary,HR,"Radiographer, diagnostic",Active,60,Rebecca Lopez,Manager,9,9,1,39450.4,5499.49,3,3,64,18,11,Recruiter,3.95,,,06-02-2023,Thomas G,21,4,4,Yes,1,4.84,Low,Non-Diverse,55.79,7213.25,14,No,47,7.77
47,28-04-2020,04-01-1971,Non-Binary,Marketing,Architect,Terminated,676,Susan Morris,Manager,13,4,2,34972.59,10727.83,8,1,32,9,20,Job Board,2.83,20-07-2022,Resignation,23-03-2023,Thomas G,6,1,13,Yes,5,3.56,High,Non-Diverse,88.3,2158.22,14,No,57,4.25
48,08-01-2020,27-05-1967,Male,IT,"Solicitor, Scotland",Active,302,Bryan Gray,Manager,10,13,1,80690.58,8618.92,2,3,75,42,14,Job Board,1.03,,,03-03-2022,Patrick,7,1,7,No,2,2.49,High,Diverse,64.24,8201.83,51,No,57,1.22
49,26-09-2020,23-02-1982,Non-Binary,IT,Clinical psychologist,Active,562,Barry Howard,Director,9,17,4,31941.61,17117.54,5,6,93,6,8,Job Board,3.23,,,22-09-2021,Arun S,8,3,13,Yes,1,1.72,High,Diverse,72.32,2453.13,22,Yes,35,6.81
50,02-02-2024,22-07-2005,Female,Marketing,"Accountant, chartered management",On Leave,782,Phyllis Montgomery,VP,1,7,3,80155.52,10080.68,5,6,82,29,20,Job Board,1.34,,,,Patrick,5,4,9,Yes,1,1.51,High,Diverse,55.19,1393.34,12,No,47,1.24
51,24-10-2023,23-11-2004,Non-Binary,HR,Armed forces technical officer,Terminated,878,Luis Schmidt,Director,16,11,5,53999.94,14412.05,7,7,33,45,12,Referral,1.03,26-03-2024,Layoff,,Arun S,13,5,0,No,4,4.74,Low,Diverse,80.46,6442.79,32,No,43,9.72
52,10-08-2015,09-03-2001,Male,HR,Clinical molecular geneticist,Active,765,Jill Luna,Director,17,16,1,115033.73,9543.5,6,9,32,0,20,Referral,3.91,,,11-04-2021,Patrick,7,4,0,No,3,4.77,Medium,Non-Diverse,52.81,9704.75,19,No,60,5.17
53,25-03-2020,28-01-2003,Female,HR,Financial controller,Terminated,459,William Murray,Director,4,9,3,61676.5,10455.59,4,6,44,35,8,Recruiter,1.45,04-10-2021,Layoff,11-07-2024,Arun S,8,3,17,No,5,4.3,High,Non-Diverse,89.01,9851.71,32,No,51,7.94
54,05-01-2025,19-05-2005,Non-Binary,Sales,"Psychotherapist, child",Terminated,979,Angela Davis,VP,19,5,1,103976.86,11742.51,2,5,55,29,9,Walk-in,1.09,10-01-2025,Retirement,23-01-2025,Patrick,39,0,14,Yes,5,2.73,Medium,Non-Diverse,63.08,3481.09,24,No,36,8.77
55,04-11-2017,12-04-1994,Non-Binary,Marketing,"Designer, ceramics/pottery",Active,183,Kathleen Lawrence,VP,11,2,1,44478.45,18902.19,0,2,95,8,12,Referral,3.2,,,,Patrick,24,4,15,Yes,4,2.67,Low,Non-Diverse,63.59,5701.21,41,No,60,9.72
56,23-04-2016,21-02-1971,Male,Finance,"Engineer, land",On Leave,177,William Young,Manager,7,7,1,34125.98,15103.53,7,8,58,0,14,Recruiter,2.76,,,16-07-2023,Thomas G,23,5,7,Yes,3,2.87,Medium,Diverse,87.82,8220.06,10,Yes,56,9.28
57,05-01-2020,20-12-1991,Female,Sales,"Engineer, land",Active,218,Tony Townsend,VP,11,8,4,57532.14,9856.32,7,1,75,38,17,Walk-in,3.82,,,,Arun S,19,0,19,No,2,2.98,Medium,Diverse,82.65,4225.17,15,No,38,1.33
58,15-02-2015,14-12-2004,Female,HR,"Scientist, physiological",Active,255,Shannon Greene,VP,19,13,2,73560.69,6396.47,8,4,90,7,11,Walk-in,2.37,,,17-06-2024,Thomas G,41,4,7,No,1,2.91,High,Diverse,98.61,7189.59,32,No,56,6.5
59,24-02-2015,22-05-1989,Non-Binary,Finance,Industrial buyer,Active,596,Christopher Guerrero,VP,2,9,5,83315.74,8888.59,0,8,42,13,20,Referral,3.9,,,05-10-2021,Patrick,14,2,2,Yes,0,2.53,High,Non-Diverse,72.78,1528.6,58,Yes,30,1.42
60,21-03-2017,05-08-1959,Non-Binary,Sales,Higher education lecturer,Active,774,Larry Gomez,Director,4,10,4,36191.45,11185.43,9,5,86,12,3,Walk-in,4.46,,,14-12-2017,Patrick,41,1,4,Yes,3,1.16,Medium,Non-Diverse,80.95,5866.33,52,No,38,5.61
61,09-06-2023,24-02-1993,Male,Marketing,Network engineer,On Leave,603,Mr. David Johnson,Director,2,3,4,83639.79,10442.32,10,1,29,7,12,Job Board,2.92,,,,Patrick,29,3,14,Yes,3,4.04,High,Non-Diverse,65.71,5012.34,23,No,39,8.37
62,03-09-2016,26-02-1960,Female,Sales,Travel agency manager,Terminated,721,Brandon Morales,Manager,5,16,3,73146.81,17787.61,5,2,16,19,11,Job Board,4.63,21-01-2022,Resignation,20-07-2018,Patrick,46,4,5,No,5,3.9,High,Non-Diverse,99.44,7416.6,59,Yes,35,5.76
63,30-03-2016,02-02-1978,Male,Sales,Government social research officer,Terminated,739,Grant Anderson,Manager,17,19,3,48773.25,17548.84,1,0,2,32,18,Job Board,2.76,22-03-2022,Layoff,,Thomas G,38,3,1,Yes,3,4.34,High,Diverse,94.03,8955.04,14,Yes,46,6.48
64,02-12-2021,06-02-1978,Female,Marketing,Animal nutritionist,On Leave,400,Antonio Ellis,Director,0,3,1,55728.64,7080.16,0,1,14,22,9,Job Board,2.28,,,08-01-2022,Patrick,18,0,3,No,0,2.75,Low,Diverse,65.14,3885.28,27,No,44,4.57
65,20-02-2017,22-07-1994,Non-Binary,HR,Interior and spatial designer,Terminated,821,Matthew Mora,Director,2,12,2,87574.81,12883.64,9,1,75,5,19,Recruiter,1.2,02-06-2024,Resignation,19-02-2021,Patrick,34,0,16,Yes,5,4.08,Medium,Non-Diverse,72.62,3063.01,14,Yes,41,7.03
66,13-12-2019,13-04-1973,Male,Finance,Health physicist,Active,92,Jacqueline Mosley,Director,14,10,1,100587.43,11282.46,1,7,97,16,2,Walk-in,2.96,,,,Patrick,9,3,18,No,3,3.75,Low,Non-Diverse,80.86,8468.21,49,No,44,8.84
67,27-04-2020,19-12-2006,Non-Binary,HR,Lawyer,Active,393,Michelle Davies,VP,4,13,1,66694.95,14267.52,3,8,44,1,7,Referral,4.97,,,,Arun S,46,2,13,No,5,1.08,Low,Diverse,54.96,9789.5,60,No,51,9.75
68,16-10-2021,05-02-1991,Female,Finance,Financial adviser,Active,811,Stacey Elliott,Director,18,5,3,50801.03,10561.41,6,6,27,25,12,Referral,3,,,25-05-2022,Thomas G,11,0,9,No,2,3.95,High,Diverse,74.09,3791.13,12,Yes,32,4.93
69,04-02-2019,08-01-1980,Female,Sales,Media planner,Terminated,233,Christopher Tucker,Manager,9,0,3,61950.15,13460.54,1,4,62,8,12,Walk-in,2.16,04-08-2019,Retirement,28-05-2020,Thomas G,28,0,8,No,3,2.07,Medium,Diverse,52.59,9554.77,23,No,44,2.02
70,17-11-2024,15-11-1993,Non-Binary,Finance,Passenger transport manager,Terminated,359,Nathan Bryan,VP,8,20,1,70188.03,12870.69,8,3,19,1,13,Job Board,2.65,27-11-2024,Retirement,,Patrick,27,4,4,Yes,5,1.77,Medium,Diverse,61.24,7946.1,25,No,52,4.48
71,07-08-2020,11-12-1990,Female,HR,Civil Service administrator,Terminated,328,Katherine Barajas,VP,8,11,1,98098.6,19975.99,8,10,12,50,14,Walk-in,1.41,10-04-2024,None,25-06-2024,Thomas G,11,3,19,No,1,3.05,High,Diverse,88.27,3712.17,60,No,33,1.77
72,30-07-2015,01-03-2006,Male,Finance,Broadcast journalist,Active,366,Thomas Campbell,Director,17,14,3,116288.45,9070.11,10,1,90,46,10,Walk-in,3.61,,,,Arun S,24,3,9,No,5,3.86,Medium,Non-Diverse,98.33,8579.33,22,No,52,5.32
73,01-05-2019,17-05-1981,Non-Binary,IT,Site engineer,Active,468,Alexander Winters,VP,1,0,3,67653.19,145.51,3,4,34,45,15,Job Board,3.01,,,,Thomas G,34,5,20,Yes,2,1.06,Medium,Non-Diverse,78.3,9134.98,58,No,57,9.81
74,11-08-2021,12-04-1967,Non-Binary,IT,Pathologist,Active,192,Adam Walters,VP,7,0,1,32537.72,12707.13,7,1,6,37,20,Recruiter,3.64,,,03-12-2021,Thomas G,48,3,3,No,4,1.31,High,Diverse,54.5,7980.31,18,Yes,49,9.43
75,27-07-2020,27-01-1979,Female,HR,Risk analyst,Active,340,Tyler Potter,VP,9,9,1,78561.53,66.97,9,7,30,50,9,Recruiter,4.34,,,23-09-2021,Thomas G,5,0,5,No,1,2.15,Low,Diverse,65.08,2573.98,53,No,39,4.94
76,10-09-2016,17-08-1983,Male,IT,"Editor, magazine features",Active,275,Mark Wilson,Director,1,9,3,50119.18,15548.69,7,0,54,37,16,Walk-in,4.94,,,06-01-2025,Thomas G,33,3,16,Yes,4,4.14,Medium,Non-Diverse,50.65,4851.98,6,Yes,55,4.33
77,12-06-2024,14-07-1984,Male,IT,"Nurse, adult",Terminated,373,Linda Chen,Director,11,8,3,94761,17559.62,5,9,25,44,13,Recruiter,1.6,21-10-2024,None,,Arun S,22,2,10,No,1,4.7,Low,Diverse,69.38,2755.02,42,No,58,7.98
78,24-05-2020,08-07-1991,Female,HR,Surgeon,Terminated,848,Andrew Chang,Director,18,5,5,59498.58,8498.19,3,0,7,15,12,Recruiter,3.31,15-10-2022,None,25-04-2021,Thomas G,43,0,0,No,0,1.74,Low,Non-Diverse,65.16,1007.35,46,No,60,5.22
79,23-09-2023,24-10-2004,Non-Binary,Finance,"Designer, fashion/clothing",Active,236,Ashley Nguyen,Director,12,20,4,64017.93,14814.49,7,1,74,33,12,Recruiter,3.01,,,,Patrick,11,3,11,Yes,0,4.33,Low,Non-Diverse,92.8,6095.16,10,Yes,54,2.42
80,14-05-2016,29-11-1996,Non-Binary,Marketing,Meteorologist,On Leave,36,Danny Forbes,Manager,2,7,5,33039.75,2485.7,3,3,49,48,18,Referral,4.03,,,,Arun S,27,2,13,Yes,5,1.15,High,Diverse,62.58,6477.91,47,Yes,52,4.38
81,26-04-2024,02-07-1962,Male,Marketing,Osteopath,On Leave,144,Karen Hess,Manager,2,13,3,106801,1022.5,4,9,97,16,18,Referral,2.93,,,17-06-2024,Thomas G,30,0,5,No,1,1.62,High,Non-Diverse,62.15,3424.6,8,Yes,42,1.34
82,18-12-2018,09-09-1997,Female,Marketing,Media buyer,Active,905,Christopher Baker,Director,17,2,5,117122.33,8547.81,4,6,78,34,7,Recruiter,3.9,,,07-09-2022,Thomas G,13,4,12,Yes,1,3.21,Low,Non-Diverse,95.29,3657.25,43,Yes,53,3.16
83,29-06-2023,20-08-1987,Male,Sales,Agricultural consultant,Terminated,452,David Diaz,Manager,15,2,5,70848.73,4519.64,10,2,99,50,7,Recruiter,1.87,19-08-2023,Layoff,08-06-2024,Arun S,19,0,6,Yes,5,1.24,Medium,Diverse,51.01,9932.24,55,Yes,35,1.5
84,14-06-2023,30-04-1976,Female,Marketing,Art therapist,On Leave,16,Cassandra Hernandez,Manager,6,11,5,97467.63,4464.04,4,10,44,10,4,Referral,1.07,,,,Thomas G,46,4,0,No,3,4.04,Medium,Diverse,64.35,7067.56,18,No,45,2.84
85,16-10-2018,07-08-1989,Male,Sales,Furniture designer,Terminated,304,Elizabeth Maddox,Manager,7,14,4,41444.73,3681.34,8,4,47,10,0,Recruiter,4.81,21-11-2024,Layoff,15-06-2024,Patrick,24,0,19,Yes,5,2.88,Medium,Diverse,62.21,1254.13,58,Yes,60,7.88
86,15-03-2021,10-10-1999,Non-Binary,Marketing,"Production assistant, radio",Terminated,641,Jonathon Baldwin,VP,19,6,3,80277.36,19248.9,3,9,89,6,20,Recruiter,3.01,02-08-2023,Retirement,31-12-2022,Thomas G,36,1,7,Yes,4,4.6,High,Diverse,72.23,7164.87,41,Yes,42,4.91
87,03-11-2022,14-02-1993,Non-Binary,Marketing,Futures trader,On Leave,161,Ashley Sanders,Director,12,13,2,95723.01,11919.41,9,7,70,41,20,Recruiter,3.75,,,23-09-2023,Thomas G,35,5,9,No,5,2.28,High,Non-Diverse,81.54,7936.72,30,Yes,60,6.63
88,05-02-2016,21-11-1981,Male,IT,Seismic interpreter,On Leave,64,Kimberly Fowler,Manager,17,15,3,41371.66,556.61,8,0,54,12,2,Recruiter,1.48,,,,Patrick,30,2,3,Yes,5,3.31,Low,Diverse,80.39,6461,7,No,46,2.94
89,19-05-2019,01-10-1960,Female,Marketing,"Engineer, technical sales",Active,669,Kyle Floyd,VP,1,17,1,61267.17,4526.18,2,3,21,3,11,Referral,3.77,,,16-07-2022,Patrick,17,4,20,Yes,3,3.77,Medium,Non-Diverse,64.97,1574.24,23,Yes,60,9.33
90,04-09-2018,23-07-1959,Male,IT,Broadcast presenter,Active,113,Tanner Rogers,Director,20,17,5,75853.18,8614.97,1,2,75,42,14,Referral,1.14,,,,Arun S,39,0,13,Yes,4,2.1,High,Non-Diverse,72.24,9651.28,52,Yes,48,2.79
91,09-04-2020,04-04-1976,Male,Sales,Education administrator,Terminated,384,Kenneth Snow,Manager,1,16,1,111184.8,13737.35,10,2,50,19,2,Recruiter,1.52,16-04-2023,None,19-06-2024,Patrick,47,4,2,No,3,2.41,High,Diverse,73.05,9771.7,13,Yes,37,3.13
92,29-06-2016,15-05-1962,Non-Binary,Marketing,Police officer,On Leave,214,Cheryl Houston,VP,14,16,4,97771.72,6047.07,0,2,85,2,6,Recruiter,1.57,,,26-07-2024,Thomas G,43,4,11,Yes,0,4.28,Medium,Non-Diverse,89.75,8058.02,9,No,31,1.27
